title,price,rating,review count,best seller rank,trust_score,clean_title
"NB North Bayou Heavy Duty Dual Monitor Arm Desk Mount, Full Motion Monitor Stand Fits for Two Big Screens 27""-34"" with Heavy Weight Capacity 11lbs-35.2lbs for Each arm, Gaming Monitor Stand G65",55,4.2,33,765,14.8107142,nb north bayou heavy duty dual monitor arm desk mount full motion monitor stand fits for two big screens 2734 with heavy weight capacity 11lbs352lbs for each arm gaming monitor stand g65
"BINNUNE Wireless Gaming Headset with Microphone for PC PS4 PS5, 2.4G Wireless Bluetooth USB Gamer Headphones with Mic for Laptop Computer",0.024458032,0.375,0.059520238,0.141686183,40.17768098,binnune wireless gaming headset with microphone for pc ps4 ps5 24g wireless bluetooth usb gamer headphones with mic for laptop computer
"Portable Monitor 18.5 inch 1080P FHD 100Hz 125% sRGB HDMI USB-C Large Portable Monitor for Laptop MacBook Xbox PS4/5, Travel Monitor with Kickstand, VESA Compatible",0,4.8,267,4,26.83673751,portable monitor 185 inch 1080p fhd 100hz 125 srgb hdmi usbc large portable monitor for laptop macbook xbox ps45 travel monitor with kickstand vesa compatible
"Project Telecom Marconi Wireless HD 1080p Webcam, 2MP, USB-A & USB-C, PC, Laptop, Streaming, Built in Mic, Video Conference Calling, Webinars, Gaming, Compatible with Ecamm Live",1049,4,34,682,14.22139225,project telecom marconi wireless hd 1080p webcam 2mp usba usbc pc laptop streaming built in mic video conference calling webinars gaming compatible with ecamm live
"2025 Gaming Laptop, Laptop with AMD Ryzen 9 6900HX (8C/16T, Up to 4.9GHz), 16GB DDR5 512GB NVMe SSD Windows 11 Laptop Computer, 16-inch FHD Display, WiFi 6, 53Wh Battery, Backlit KB",1377,5,8,597,10.98612289,2025 gaming laptop laptop with amd ryzen 9 6900hx 8c16t up to 49ghz 16gb ddr5 512gb nvme ssd windows 11 laptop computer 16inch fhd display wifi 6 53wh battery backlit kb
"16.0-inch Gaming Laptop, 2025 16GB DDR4 512GB SSD laptop, Windows 11 Laptop with Intel 12th Quad-Core Processor(Up to 3.6GHz), 1920P FHD Display, Metal Shell, WiFi 6, USB3.2, Type_C, Long Battery Life",1377,4.4,12,478,11.28577717,160inch gaming laptop 2025 16gb ddr4 512gb ssd laptop windows 11 laptop with intel 12th quadcore processorup to 36ghz 1920p fhd display metal shell wifi 6 usb32 typec long battery life
"Gaming Headset for PC, Ps4, Ps5, Xbox Headset with 7.1 Surround Sound, Gaming Headphones with Noise Cancelling Mic RGB Light Over Ear Headphones for Xbox Series X/S, Switch",0.022790439,0.625,0.021240085,0.019906323,38.36858008,gaming headset for pc ps4 ps5 xbox headset with 71 surround sound gaming headphones with noise cancelling mic rgb light over ear headphones for xbox series xs switch
"KeiBn Laptop Cooling Pad, Gaming Laptop Fan Cooling Pad with 9 Quiet Fans, RGB Laptop Cooler for 15.6-17.3 Inch, Cooling Pad for Laptop with 7 Height Stands, 2 USB Ports, Phone Stand-Purple",0.019455253,0.375,0.00498602,0.018735363,33.35348034,keibn laptop cooling pad gaming laptop fan cooling pad with 9 quiet fans rgb laptop cooler for 156173 inch cooling pad for laptop with 7 height stands 2 usb ports phone standpurple
"NB North Bayou Heavy Duty Dual Monitor Arm Desk Mount, Full Motion Monitor Stand Fits for Two Big Screens 27""-34"" with Heavy Weight Capacity 11lbs-35.2lbs for Each arm, Gaming Monitor Stand G65",55,4.2,33,765,14.8107142,nb north bayou heavy duty dual monitor arm desk mount full motion monitor stand fits for two big screens 2734 with heavy weight capacity 11lbs352lbs for each arm gaming monitor stand g65
"Gaming Keyboard and Mouse and Mouse pad and Gaming Headset, Wired LED RGB Backlight Bundle for PC Gamers and Xbox and PS4 Users - 4 in 1 Edition Hornet RX-250",0.013340745,0.375,0.111174445,0.573770492,42.5925149,gaming keyboard and mouse and mouse pad and gaming headset wired led rgb backlight bundle for pc gamers and xbox and ps4 users 4 in 1 edition hornet rx250
